Nom,Prenom,Score Dernière course,Total,Participations
Propulse,Fabrice,18,186,11
Fonceur,Patrick,18,180,12
Trotinette,Benjamin,0,178,10
Lechemin,Philippe,18,177,10
Haletant,Willy,0,161,10
Bottes,Frederic,0,151,11
Turbo,Maxence,18,145,9
Depart,Philippe,0,132,8
Foulee,Maxime,18,132,8
Genou-Cagneux,Yves,10,131,12
Petit-Pas,Catherine,0,131,8
Sprint-Final,Sonia,0,126,9
Capot-Ouvert,Caroline,18,121,8
Hardi,Regina,18,116,7
Marathon,Fabienne,0,113,9
Rapidement,Jean,18,110,7
Demarre-Vite,Alain,0,108,9
Dossard,Martino,10,108,8
Molo,Francois,0,106,5
Semelle,Martin,0,106,5
Parcours,Evelyne,18,104,7
Fusee,Thibault,0,102,6
Lacet-Defait,Marc-Olivier,0,102,8
Rapido,Antoine,10,102,7
Bolide,Patrick,18,100,6
Whippet,Aurore,0,100,8
De-Cote,Bruno,18,99,6
Halte-La,Marie,0,99,7
Galopant,Daniel,0,96,6
Marcheur,Anton,0,96,4
Moteur,Jonathan,0,94,4
Vitesse,Laura,18,94,5
Fonceuse,Anne,0,89,5
Coupe-Vent,Patrick,0,84,6
Chrono,Petra,0,80,5
Wagon,Alexandre,0,80,5
Agile,Per,0,75,4
Talon,Veronique,0,75,5
Basket,Laura,18,74,4
Jambe-Leste,Olivia,0,72,6
Pied-Aile,Amandine,0,72,5
Ravitaillement,Hani,0,71,4
Vent-De-Dos,Vincent,0,71,3
Faux-Depart,Jean-Jacques,10,70,5
Lièvre,Pascal,0,69,4
Sprinteuse,Lena,0,69,6
Tapis-Roulant,Maria,10,65,4
Cardio,Julie,10,64,4
Le-Leste,Vinh,0,60,3
Roule-Boule,Etienne,0,60,4
Warm-Up,Corentin,18,59,3
Trottine,Giovanna,10,57,4
Colline,Christine,18,55,3
Degre,Benjamin,0,55,3
Dekilometre,Arnaud,10,53,4
Mollet,Estelle,0,52,3
Sueu-Front,Denis,0,52,3
Mur,Nicolas,0,50,3
Pied-Nu,William,0,47,5
Rafale,Charles,0,46,3
Courbature,Joëlle,0,45,3
Mille-Pattes,Stephan,0,45,2
Vite-Fait,Ghislaine,0,43,5
Running,Philippine,0,42,3
Balade,Usukhbayar,0,41,2
De-Pied-Ferme,Amelie,0,41,3
Valse,Anne,10,41,5
Baveux,Kevin,0,40,2
Nitro,Carlos,0,40,3
Crampe,Jeremie,0,39,1
Denivele,Pascal,0,38,2
Gaz,Audrey,18,38,3
Dure-Lutte,Caroline,0,35,2
Pente-Raide,Tim,0,35,3
Vainqueur,Christian,0,35,2
Asthmatique,Victor,0,34,2
Massage,Isaline,18,33,2
Catapulte,Dimitri,0,32,2
De-Travers,Aurèle,0,32,2
Haleine,Dimitri,0,32,2
Hors-Delai,Florent,0,32,2
Obstacle,Felicien,0,32,2
Record,Marie,0,32,2
Ventile,Heleen,0,32,2
Depart-Arrete,Fanny,10,30,2
Rando,Dimitri,0,28,2
Arrivee,Edouard,0,27,2
Deferlante,Severine,0,27,2
Zigzag,Sophie,0,27,2
Zoum-Zoum,Amine,0,27,2
Jogging,Lionel,0,25,1
Bioman,Camille,0,20,1
Bon-Pied,Denis,0,20,1
Boitillant,Adrien,0,20,1
Brindille,Celia,0,20,1
De-Course,Gauthier,0,20,1
Galop,Louis,0,20,1
Hanche,Alexia,0,20,1
Lentement,Laetitia,0,20,1
Masseur,Cathy,0,20,1
Macadam,Bruno,0,20,1
Minute,Corentin,0,20,1
Oxygène,Mikaël,0,20,1
Pierreux,Francois,0,20,1
Trail,Pauline,0,20,1
Veloce,Ivan,0,20,1
De-Travers,Ben,0,19,2
Gomme,Andrea,18,18,1
Lumineux,Dragan,18,18,1
Gourde,Severine,0,15,1
Gel-Energy,Luc,0,14,2
Cheville,Keyvan,0,12,1
Gobelet,Geraldine,0,12,1
Kine,Pierre-Alban,0,10,1
Lourd,Virginie,0,10,1
Corde-Sauter,Agnès,0,7,1
Declic,Joe,0,7,1
Raide-Dingue,Andoniaina,0,7,1
Raccourci,Mihajasoa,0,7,1
